Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Ryan Fredericks,eng ENG,DF,Bournemouth,30-211,1992,5.9,0,0,0,,00.00,00.00,0.0,0.0
Remo Freuler,ch SUI,MF,Nott'ham Forest,31-024,1992,24.0,0,8,1,12.5,00.33,00.04,0.4,0.4
Cody Gakpo,nl NED,FW,Liverpool,24-002,1999,13.8,6,34,9,26.5,02.46,01.05,4.7,4.7
Conor Gallagher,eng ENG,MFFW,Chelsea,23-092,2000,14.6,3,20,9,45.0,01.37,01.02,1.6,1.6
Idrissa Gana Gueye,sn SEN,MF,Everton,33-225,1989,26.1,0,12,4,33.3,00.46,00.15,0.5,0.5
Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-312,2004,5.0,2,16,6,37.5,03.18,01.19,1.6,1.6
James Garner,eng ENG,MF,Everton,22-057,2001,6.1,0,7,2,28.6,01.15,00.33,0.6,0.6
David de Gea,es ESP,GK,Manchester Utd,32-183,1990,34.0,0,0,0,,00.00,00.00,0.0,0.0
Joe Gelhardt,eng ENG,FW,Leeds United,21-005,2002,2.4,0,10,2,20.0,04.25,01.25,0.8,0.8
Saman Ghoddos,ir IRN,MFDF,Brentford,29-245,1993,1.5,0,1,1,100.0,01.08,01.08,0.0,0.0
Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-102,2000,2.0,0,3,1,33.3,01.50,00.50,0.7,0.7
Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-102,2000,30.0,5,54,18,33.3,02.20,01.00,5.8,4.2
Billy Gilmour,sct SCO,MF,Brighton,21-332,2001,3.8,0,5,0,0.0,01.32,00.00,0.4,0.4
Degnand Gnonto,it ITA,FWMF,Leeds United,19-185,2003,14.1,2,22,8,36.4,01.56,00.57,1.8,1.8
Ben Godfrey,eng ENG,DF,Everton,25-114,1998,8.9,0,6,0,0.0,01.07,00.00,1.2,1.2
João Gomes,br BRA,MF,Wolves,22-086,2001,5.3,1,3,1,33.3,00.56,00.19,0.2,0.2
Toti Gomes,pt POR,DF,Wolves,24-113,1999,9.0,1,4,2,50.0,00.44,00.22,0.4,0.4
Joe Gomez,eng ENG,DF,Liverpool,25-351,1997,15.3,0,5,1,20.0,00.33,00.07,0.2,0.2
Sergio Gómez,es ESP,DFMF,Manchester City,22-247,2000,1.9,0,4,0,0.0,02.07,00.00,0.3,0.3
Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-074,2001,4.4,0,7,1,14.3,01.59,00.23,1.2,1.2
Anthony Gordon,eng ENG,FW,Everton,22-074,2001,12.2,3,26,16,61.5,02.14,01.32,3.3,3.3
Demarai Gray,eng ENG,FWMF,Everton,26-315,1996,26.2,4,50,20,40.0,02.31,01.16,5.6,4.0
Jack Grealish,eng ENG,FW,Manchester City,27-241,1995,22.7,5,41,15,36.6,02.21,01.06,4.6,4.6
Sam Greenwood,eng ENG,MFFW,Leeds United,21-103,2002,4.1,1,11,2,18.2,03.07,00.49,0.6,0.6
Pascal Groß,de GER,MFDF,Brighton,31-328,1991,31.2,8,34,15,44.1,01.09,00.48,5.1,5.1
Vicente Guaita,es ESP,GK,Crystal Palace,36-119,1987,27.0,0,0,0,,00.00,00.00,0.0,0.0
Gonçalo Guedes,pt POR,FWMF,Wolves,26-161,1996,7.9,1,19,6,31.6,02.42,01.16,1.2,1.2
Marc Guéhi,eng ENG,DF,Crystal Palace,22-300,2000,34.0,1,11,6,54.5,00.32,00.18,1.2,1.2
Bruno Guimarães,br BRA,MF,Newcastle Utd,25-174,1997,26.3,3,25,7,28.0,01.35,00.27,2.0,2.0
?lkay Gündo?an,de GER,MF,Manchester City,32-197,1990,24.3,6,50,18,36.0,02.06,01.14,7.2,6.4
Darko Gyabi,eng ENG,FW,Leeds United,19-080,2004,0.1,0,1,0,0.0,11.25,00.00,0.1,0.1
Erling Haaland,no NOR,FW,Manchester City,22-292,2000,28.7,35,107,51,47.7,04.13,02.18,26.8,21.5
Lewis Hall,eng ENG,DFMF,Chelsea,18-243,2004,3.4,0,5,2,40.0,01.48,00.59,0.5,0.5
Luke Harris,wls WAL,MFFW,Fulham,18-036,2005,0.1,0,0,0,,00.00,00.00,0.0,0.0
Jack Harrison,eng ENG,FWMF,Leeds United,26-170,1996,27.7,4,35,12,34.3,01.26,00.43,4.5,4.5
