Player,Nation,Pos,Squad,Age,Born,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
Daniel Podence,pt POR,FWMF,Wolves,27-200,1995,18.6,67,04.01,3,00.16
Nick Pope,eng ENG,GK,Newcastle Utd,31-020,1992,33.2,5,00.15,0,00.00
Pedro Porro,es ESP,DFMF,Tottenham,23-238,1999,10.5,33,03.14,4,00.38
Dennis Praet,be BEL,MFFW,Leicester City,28-360,1994,7.2,14,02.34,0,00.00
Isaac Price,nir NIR,MF,Everton,19-225,2003,0.4,2,05.45,0,00.00
Christian Pulisic,us USA,FWDF,Chelsea,24-233,1998,8.7,22,02.53,3,00.34
Aaron Ramsdale,eng ENG,GK,Arsenal,24-360,1998,35.0,2,00.06,0,00.00
Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-346,2001,26.3,76,03.29,8,00.30
Marcus Rashford,eng ENG,FW,Manchester Utd,25-190,1997,30.5,90,03.36,13,00.43
David Raya,es ESP,GK,Brentford,27-236,1995,35.0,12,00.34,2,00.06
